Date;Argentina;Bolivia;Brazil;Canada;Chile;Colombia;Dominican Republic;El Salvador;Guatemala;Mexico;Panama;Peru;US
24/01/2020;;;;;;;;;;;;;1
25/01/2020;;;;;;;;;;;;;0
26/01/2020;;;;1;;;;;;;;;3
27/01/2020;;;;0;;;;;;;;;0
28/01/2020;;;;1;;;;;;;;;0
29/01/2020;;;;0;;;;;;;;;0
30/01/2020;;;;0;;;;;;;;;0
31/01/2020;;;;2;;;;;;;;;2
1/02/2020;;;;0;;;;;;;;;1
2/02/2020;;;;0;;;;;;;;;0
3/02/2020;;;;0;;;;;;;;;3
4/02/2020;;;;0;;;;;;;;;0
5/02/2020;;;;1;;;;;;;;;0
6/02/2020;;;;0;;;;;;;;;0
7/02/2020;;;;2;;;;;;;;;0
8/02/2020;;;;0;;;;;;;;;0
9/02/2020;;;;0;;;;;;;;;0
10/02/2020;;;;0;;;;;;;;;0
11/02/2020;;;;0;;;;;;;;;1
12/02/2020;;;;0;;;;;;;;;0
13/02/2020;;;;0;;;;;;;;;1
14/02/2020;;;;0;;;;;;;;;0
15/02/2020;;;;0;;;;;;;;;0
16/02/2020;;;;0;;;;;;;;;0
17/02/2020;;;;1;;;;;;;;;0
18/02/2020;;;;0;;;;;;;;;0
19/02/2020;;;;0;;;;;;;;;0
20/02/2020;;;;0;;;;;;;;;0
21/02/2020;;;;1;;;;;;;;;2
22/02/2020;;;;0;;;;;;;;;0
23/02/2020;;;;0;;;;;;;;;0
24/02/2020;;;;1;;;;;;;;;0
25/02/2020;;;;1;;;;;;;;;0
26/02/2020;;;1;0;;;;;;;;;0
27/02/2020;;;0;2;;;;;;;;;1
28/02/2020;;;0;1;;;;;;1;;;0
29/02/2020;;;1;6;;;;;;3;;;8
1/03/2020;;;0;4;;;1;;;1;;;6
2/03/2020;;;0;3;;;0;;;0;;;23
3/03/2020;1;;0;3;1;;0;;;0;;;20
4/03/2020;0;;1;3;0;;0;;;0;;;31
5/03/2020;1;;4;4;3;;0;;;0;;;70
6/03/2020;6;;6;12;0;1;1;;;1;;1;48
7/03/2020;0;;6;5;0;0;0;;;0;;5;115
8/03/2020;3;;6;10;4;0;3;;;1;;2;114
9/03/2020;5;;0;13;0;2;0;;;0;1;3;68
10/03/2020;2;;9;2;5;0;0;;;0;7;1;192
11/03/2020;2;2;18;29;10;6;0;;;1;3;8;398
12/03/2020;10;0;25;9;0;5;0;;;4;16;8;452
13/03/2020;3;1;21;76;20;5;0;;1;14;9;10;596
14/03/2020;11;7;23;5;18;18;6;;1;15;7;19;713
15/03/2020;11;0;79;54;13;16;0;;1;12;12;28;98
16/03/2020;9;1;34;163;81;14;0;;3;29;14;20;1392
17/03/2020;14;0;57;63;46;25;10;;3;11;17;27;1781
18/03/2020;19;1;137;179;37;12;0;1;2;25;23;56;2773
19/03/2020;31;0;193;143;0;26;13;0;1;46;28;62;5239
20/03/2020;30;3;283;143;196;48;38;2;4;39;63;56;5326
21/03/2020;67;4;224;334;103;34;40;0;4;48;45;30;6339
22/03/2020;41;5;418;192;95;29;90;0;2;65;68;39;7938
23/03/2020;36;3;345;619;114;73;43;2;2;51;32;33;10089
24/03/2020;86;2;310;702;176;105;67;4;0;38;98;64;10263
25/03/2020;117;3;232;461;220;61;80;4;3;70;115;100;11936
26/03/2020;87;11;482;791;164;10;96;0;1;110;116;52;18036
27/03/2020;101;18;502;640;304;49;93;6;3;132;112;34;18174
28/03/2020;55;13;486;894;299;69;138;5;6;131;115;136;19800
29/03/2020;75;7;353;704;230;94;140;6;2;145;88;142;19140
30/03/2020;146;16;323;1118;310;96;42;2;0;101;86;130;21496
31/03/2020;88;10;1138;1129;289;107;208;0;3;121;106;251;26011
1/04/2020;79;8;1117;1033;293;160;175;9;7;163;136;117;25493
2/04/2020;132;8;1076;1724;373;96;96;5;1;132;158;223;30399
3/04/2020;88;9;1146;1153;333;105;108;10;3;178;198;294;31942
4/04/2020;98;7;1222;541;424;140;0;6;11;202;128;834;33164
5/04/2020;103;18;852;2778;310;79;257;7;9;253;187;444;27874
6/04/2020;74;26;926;807;344;94;83;9;4;296;112;647;29637
7/04/2020;87;11;1661;1309;301;129;128;15;3;346;149;2172;30782
8/04/2020;80;16;2210;1269;430;346;155;10;7;396;279;1083;31694
9/04/2020;99;54;1930;1513;426;169;238;14;39;260;224;819;34756
10/04/2020;81;4;1781;1405;529;251;271;1;11;403;222;1043;33501
11/04/2020;167;7;1089;1257;426;235;139;7;16;375;260;1406;30015
12/04/2020;66;25;1442;983;286;67;208;12;3;442;166;735;28559
13/04/2020;69;30;1261;1381;312;76;200;12;11;353;72;1281;25293
14/04/2020;166;24;1832;1355;392;126;119;10;13;385;102;1037;27035
15/04/2020;128;43;3058;1174;356;125;328;5;16;448;177;1374;29129
16/04/2020;98;44;2105;2600;534;128;141;13;18;450;265;1326;31298
17/04/2020;88;24;3257;2005;445;205;371;13;21;578;194;1103;32724
18/04/2020;81;28;2917;1542;478;183;209;11;22;622;63;1397;28321
19/04/2020;102;27;2055;1277;358;175;345;17;32;764;194;1071;26058
20/04/2020;90;44;1927;2025;419;182;284;7;5;511;191;2032;27341
21/04/2020;112;34;2498;1744;325;171;80;12;22;729;163;2166;25497
22/04/2020;144;11;2678;2261;464;193;256;13;26;1043;171;2089;28201
23/04/2020;147;94;3735;1636;516;195;243;11;42;1089;174;2035;34203
24/04/2020;172;104;3503;1620;494;304;206;13;46;1239;172;2225;36291
25/04/2020;173;59;5514;1452;552;262;177;24;43;970;201;2392;32921
26/04/2020;112;84;3379;1662;473;237;209;25;27;835;240;1416;27688
27/04/2020;111;64;4613;1583;482;218;158;22;30;852;242;3390;22476
28/04/2020;124;39;5385;1534;552;354;123;32;27;1223;179;3372;24525
29/04/2020;158;57;6276;1715;520;261;236;18;28;1047;178;4227;27408
30/04/2020;143;57;7218;1592;1138;296;320;29;14;1425;154;3178;29741
1/05/2020;105;62;5919;1886;985;501;316;22;45;1515;188;2522;34162
2/05/2020;149;241;5097;1583;1427;278;290;44;44;1349;370;3292;29195
3/05/2020;103;124;4751;2578;1228;423;376;65;15;1383;107;1888;25587
4/05/2020;104;87;6633;1453;980;307;281;32;27;1434;190;3865;22475
5/05/2020;133;121;6935;1258;1373;641;245;46;33;1120;136;3957;24185
6/05/2020;188;84;10503;1479;1032;347;327;62;35;1609;208;3623;25256
7/05/2020;163;195;9888;1507;1533;497;288;47;34;1982;137;3621;27882
8/05/2020;240;185;10222;1473;1391;595;281;42;68;1906;202;3350;27157
9/05/2020;165;171;10611;1244;1247;444;506;105;67;1938;212;2491;25740
10/05/2020;258;119;6760;1173;1647;568;465;69;85;1562;166;949;19778
11/05/2020;244;275;5632;1173;1197;551;287;40;62;1305;168;3579;18878
12/05/2020;285;133;9258;1155;1658;658;266;39;85;1997;167;4315;21952
13/05/2020;316;184;11385;1149;2660;659;296;75;143;1862;161;4430;21195
14/05/2020;255;224;13944;1213;2659;680;124;98;176;2409;174;3787;27617
15/05/2020;345;205;15305;1178;2502;606;419;55;125;2437;150;4266;25300
16/05/2020;326;249;14919;1247;1886;725;371;73;120;2112;181;4109;25101
17/05/2020;263;262;7938;1126;2353;639;204;75;149;2075;157;1791;19004
18/05/2020;303;175;13140;1079;2278;718;411;85;89;2414;120;5096;21708
19/05/2020;438;218;17408;1082;3520;641;498;73;132;2713;141;5089;20498
20/05/2020;474;438;19951;1082;4038;777;254;69;132;2248;110;5193;23612
21/05/2020;648;268;18508;1167;3964;644;180;85;247;2973;139;5378;25537
22/05/2020;718;392;20803;1205;4276;802;332;94;231;2960;151;6044;24137
23/05/2020;704;336;16508;1204;3536;1017;433;96;311;3329;310;5308;21827
24/05/2020;723;348;15813;955;3709;1002;379;68;370;2764;349;1790;20789
25/05/2020;552;397;11687;1013;4895;801;272;59;336;2485;257;6869;18970
26/05/2020;600;476;16324;971;3964;1021;191;67;194;3455;264;6819;18848
27/05/2020;706;632;20599;899;4328;1102;459;85;191;3463;281;7296;18366
28/05/2020;769;619;26417;987;4654;1262;345;84;203;3377;403;6374;22836
29/05/2020;717;344;26928;933;3695;1327;463;117;259;3227;400;5631;24488
30/05/2020;795;861;33274;772;4220;1548;377;122;132;2885;487;4545;24246
31/05/2020;637;390;15760;798;4830;1154;377;65;348;3152;445;2248;20129
1/06/2020;564;549;12247;809;5470;1108;287;71;249;2771;374;4110;17354
2/06/2020;904;460;28936;672;3528;1341;180;52;250;3891;258;3658;20891
3/06/2020;949;647;28633;681;4942;1523;288;76;174;3912;514;2391;19881
4/06/2020;929;607;30925;628;4664;1763;279;68;394;4442;435;3904;21295
5/06/2020;840;483;30830;678;4207;1520;389;85;331;4346;419;4785;25311
6/06/2020;983;630;27075;528;5246;1385;487;81;307;3593;541;4644;22684
7/06/2020;774;285;18912;703;6405;1207;405;89;263;3484;421;2606;17771
8/06/2020;826;306;15654;601;4696;1480;526;87;447;2999;429;4576;17472
9/06/2020;1141;695;32091;462;3913;1359;289;83;364;4199;379;5089;18087
10/06/2020;1226;637;32913;479;5697;1604;393;99;355;4883;656;5423;20834
11/06/2020;1386;884;30412;439;5636;1962;629;108;340;4790;697;4409;22888
12/06/2020;1391;764;25982;436;6754;1204;571;122;421;5222;625;3809;25396
